High risk cohort,"Number of eligible patients, n","Eligible patients recieving treatment, n (%)","Treated patients recieving sotrovimab, n (%)","Treated patients recieving molnupiravir, n (%)"
All,1938,33 (2%),18 (55%),15 (45%)
Down's syndrome,157,3 (2%),2 (67%),1 (33%)
HIV/AIDS,153,7 (5%),5 (71%),2 (29%)
Patients with a haematological diseases and stem cell transplant recipients,237,3 (1%),2 (67%),1 (33%)
Patients with a solid cancer,76,NA (NA%),NA (NA%),NA (NA%)
Patients with immune-mediated inflammatory disorders (IMID),75,1 (1%),1 (100%),NA (NA%)
Patients with liver disease,158,5 (3%),4 (80%),1 (20%)
Patients with renal disease,133,1 (1%),1 (100%),NA (NA%)
Primary immune deficiencies,88,NA (NA%),NA (NA%),NA (NA%)
Rare neurological conditions,603,7 (1%),2 (29%),5 (71%)
Sickle cell disease,173,4 (2%),1 (25%),3 (75%)
Solid organ transplant recipients,85,2 (2%),NA (NA%),2 (100%)
